No.,Category,Level ,Question,Ans.1,Ans.2,Ans.3,Ans.4,Correct Ans.
1,Situation,Easy,You are assigned a task with a deadline next week. A teammate asks for help on a small issue that will take 10 minutes.,Ignore them and focus only on your work,"Help them quickly, then return to your task",Tell them to ask someone else,Report them for interrupting you,Ans.2
2,Situation,Easy,"You are assigned two tasks at the same time: Task A is urgent and due today Task B is important, but it will be due for two days What should you do?",Start working on Task B because it is important,Try to do both tasks at the same time,"Prioritize Task A, then complete Task B",Ignore Task A and ask for an extension,Ans.3
3,Situation,Easy,Two of your teammates are arguing during a group project. What is the best action?,Ignore them,Take sides to the one who is right,Help them calm down and focus on the task,Leave them to solve the problem,Ans.3
4,Situation,Easy,You realize you might not finish your task on time. What should you do?,Say nothing and hope for the best,Make an excuse,Blame someone else,Inform your supervisor early,Ans.4
5,Situation,Easy,Our manager gives you a new task while you are already busy. What should you do first?,Ignore the new task,Stop your current task immediately,Ask which task is the priority,Do both at the same time quickly,Ans.2
6,Situation,Easy,You notice you made a small mistake in your work. What should you do?,Fix it immediately,Accept the mistake,Ignore it,Blame someone else,Ans.1
7,Situation,Easy,You are working in an office and you overhear a work colleague being verbally abusive to a co-worker. What would you do?,This is none of my business. I would ignore it and let the work colleagues sort it out amongst themselves. I have important tasks to finish.,"I would join in with the abuse. After all, a bit of banter' never did anyone any harm, and it's good for team morale.",". I would step in and stop the abuse immediately, check the coworker was OK before reporting the incident to my manager. Any form of abuse is unacceptable, and should be stopped immediately.",I would report the abuse to my manager so they could decide whether or not it needed to be tackled.,Ans.3
8,Situation,Easy,"You are working on an important project when a co-worker, who has just started work at the company, approaches you to ask for advice on how to complete a specific task. What would you do?","Because they are new, tell them to find out how to complete the task themselves. After all, you had to learn the hard way when you joined the company.","Stop what you are doing and help them. If it means you have to put in extra time to get your own project finished, so be it. It's important to offer your support because you are part of the same team.",Tell them you are too busy. Advise they speak to a different coworker who might be able to assist them.,Tell the co-worker you will help them but they will have to come back another time once you have finished your project.,Ans.4
9,Situation,Easy,A customer calls you to complain about the service they have received. They are angry about the situation and they start shouting at you. How would you deal with this situation?,"Tell the customer that, unless they stop shouting at you, you will not deal with their complaint. You have rights too, and you are not prepared to be spoken to in that manner.",Let the customer speak and listen to their concerns. You don't take what they say personally. Show empathy for the customer's situation and apologize quickly if the company is at fault. Tell the customer you would feel the same as them if the situation had happened to you before outlining what you will do to put things right.,"Tell the customer you will pass on their complaint to your supervisor and he or she will be in touch as soon as they are available. Write down the details of the customer's complaint, and their telephone contact number, before passing on the information to your supervisor.",Tell the customer you will ask your supervisor to contact them as soon as possible. Take down their number and pass it on to your supervisor for them to deal with.,Ans.2
10,Situation,Easy,Your manager walks into the office and asks for a volunteer to cover the work of a co-worker who has gone off sick. The volunteer must do their own work in addition to their co-workers. What would you do?,Wait to see if anyone else volunteers first before putting my hand up.,"Ask my manager if I will get paid for the extra duties. If they say yes, then I will volunteer.",Volunteer to do the work. Once I had received a brief from my manager I would quickly learn my co workers responsibilities before prioritizing my tasks and commencing work.,I would not volunteer. I have enough on my plate without having to do someone else's work too!,Ans.3
